filename,pop,species,author,class,num_individuals,gene_diversity,allelic_richness,allelic_richness_rbysp,global_fst,Ne,Ne_para_lower,Ne_para_upper,PA_bin,PA_dist_neg,PA_count_10km,PA_count_50km,PA_count_100km,PA_count_150km,n_pops,PA_prop,WDPA_PI,AREA_KM,year,IUCN_CA_num,length_cm,lon,lat,total_alleles,pa_allele_count,prop_alleles_inPA
Almojil1_Chondrichthyes_CarcharhinusLimbatus.str,Almojil1_Bahrain,Carcharhinus_limbatus,Almojil,Chondrichthyes,12,0.689276546,4.633234705,5.0615847,0.003357633,52.5,10.6,NA,0,49887.69715,0,0,0,1,10,0,NA,NA,NA,NA,286,51.1,26.4,149,0,0
Almojil1_Chondrichthyes_CarcharhinusLimbatus.str,Almojil1_Kuwait,Carcharhinus_limbatus,Almojil,Chondrichthyes,12,0.67793378,4.612968968,5.038718804,0.014508034,NA,15.2,NA,0,297633.1046,0,9,26,46,10,0,NA,NA,NA,NA,286,48.9,28.8,149,0,0
Almojil1_Chondrichthyes_CarcharhinusLimbatus.str,Almojil1_Oman,Carcharhinus_limbatus,Almojil,Chondrichthyes,90,0.698014802,4.366808534,4.736337434,0.028558242,2485.6,192.1,NA,0,253053.5825,0,0,0,1,10,0,NA,NA,NA,NA,286,60.4,22,149,0,0
Almojil1_Chondrichthyes_CarcharhinusLimbatus.str,Almojil1_Pakistan,Carcharhinus_limbatus,Almojil,Chondrichthyes,57,0.698248001,4.295736029,4.629906281,0.025016073,65.1,38.9,140.9,0,144995.9005,1,1,3,7,10,0,NA,NA,NA,NA,286,66.7,24.1,149,0,0
Almojil1_Chondrichthyes_CarcharhinusLimbatus.str,Almojil1_SaudiArabia,Carcharhinus_limbatus,Almojil,Chondrichthyes,91,0.699072523,4.219982079,4.542432786,0.027126188,142.6,77.7,443.6,0,173619.3833,1,1,1,3,10,0,NA,NA,NA,NA,286,41.8,17.7,149,0,0
Almojil1_Chondrichthyes_CarcharhinusLimbatus.str,Almojil1_SouthAfrica,Carcharhinus_limbatus,Almojil,Chondrichthyes,93,0.703225371,4.24268097,4.567302755,0.021456197,193.9,93.9,1439.3,0,226972.2444,0,1,2,3,10,0,NA,NA,NA,NA,286,31.9,-32.8,149,0,0
Almojil1_Chondrichthyes_CarcharhinusLimbatus.str,Almojil1_UAE,Carcharhinus_limbatus,Almojil,Chondrichthyes,85,0.705024447,4.372340735,4.742708662,0.01837835,259,97.2,NA,0,47406.66567,0,7,21,37,10,0,NA,NA,NA,NA,286,54,24.8,149,0,0
Almojil1_Chondrichthyes_CarcharhinusLimbatus.str,Almojil1_Yemen,Carcharhinus_limbatus,Almojil,Chondrichthyes,85,0.669400223,4.05603068,4.373593645,0.067899785,382.1,113.7,NA,0,1643643.241,2,6,17,30,10,0,NA,NA,NA,NA,286,52.3,14.7,149,0,0
Almojil2_Chondrichthyes_CarcharhinusSorrah.str,Almojil2_Bahrain,Carcharhinus_sorrah,Almojil,Chondrichthyes,51,0.656907262,4.038609081,6.915236447,0.034637359,NA,162.8,NA,0,21435.27761,0,0,0,0,6,0,NA,NA,NA,NA,160,50.5,25.9,170,0,0
Almojil2_Chondrichthyes_CarcharhinusSorrah.str,Almojil2_Oman,Carcharhinus_sorrah,Almojil,Chondrichthyes,87,0.668827962,4.139153169,7.264467536,0.021144099,1013.1,208.5,NA,0,625881.113,0,0,0,0,6,0,NA,NA,NA,NA,160,59.4,19.2,170,0,0
Almojil2_Chondrichthyes_CarcharhinusSorrah.str,Almojil2_UAE,Carcharhinus_sorrah,Almojil,Chondrichthyes,96,0.686739046,4.185833852,7.147667196,-0.004473335,5476.2,308.4,NA,0,94628.19403,0,0,0,0,6,0,NA,NA,NA,NA,160,53.5,24.2,170,0,0
Almojil2_Chondrichthyes_CarcharhinusSorrah.str,Almojil2_Yemen,Carcharhinus_sorrah,Almojil,Chondrichthyes,93,0.695354268,4.23080441,7.063945939,-0.01724238,591.3,198.1,NA,0,1556978.011,0,1,3,7,6,0,NA,NA,NA,NA,160,50,13.7,170,0,0
Als1_Actinopterygii_AnguillaAnguilla.str,Als1_Adour,Anguilla_anguilla,Als,Actinopteryggi,119,0.797878838,6.111932815,3.731194946,-0.0034566,NA,584.4,NA,0,2214.817176,0,16,54,93,30,0.166666667,NA,NA,NA,NA,121.5,-1.6,43.5,881,729,0.827468785
Als1_Actinopterygii_AnguillaAnguilla.str,Als1_Belgium,Anguilla_anguilla,Als,Actinopteryggi,51,0.795877296,6.101344055,3.728033949,-0.006606979,313.2,108.2,NA,1,-2006.467096,0,13,51,89,30,0.166666667,555557219,1182.363889,2012,NA,121.5,2.7,51.2,881,729,0.827468785
Als1_Actinopterygii_AnguillaAnguilla.str,Als1_Canet,Anguilla_anguilla,Als,Actinopteryggi,50,0.782085714,6.062250173,3.695541185,0.010648981,190.2,88.4,48001.4,1,-686.2567872,0,8,44,89,30,0.166666667,555547183,4005.332947,2011,5,121.5,3,42.7,881,729,0.827468785
Als1_Actinopterygii_AnguillaAnguilla.str,Als1_Iceland,Anguilla_anguilla,Als,Actinopteryggi,55,0.792106146,6.072338138,3.71916412,-0.001182236,2429.3,180.6,NA,0,22638.05397,0,3,7,18,30,0.166666667,NA,NA,NA,NA,121.5,-22.2,64.2,881,729,0.827468785
Als1_Actinopterygii_AnguillaAnguilla.str,Als1_Ireland,Anguilla_anguilla,Als,Actinopteryggi,170,0.795238301,6.070762308,3.71200822,0.001112905,NA,597.3,NA,0,8303.236512,0,1,1,10,30,0.166666667,NA,NA,NA,NA,121.5,-9.9,53.9,881,729,0.827468785
Als1_Actinopterygii_AnguillaAnguilla.str,Als1_Italy,Anguilla_anguilla,Als,Actinopteryggi,49,0.794576106,6.103190049,3.72933803,-0.005383742,NA,206.4,NA,0,14459.98898,0,2,6,18,30,0.166666667,NA,NA,NA,NA,121.5,12.2,41.7,881,729,0.827468785
Als1_Actinopterygii_AnguillaAnguilla.str,Als1_Loire,Anguilla_anguilla,Als,Actinopteryggi,229,0.799953064,6.060377365,3.714973315,-0.004029246,1848.5,598.4,NA,1,-7384.240054,0,3,23,34,30,0.166666667,555539365,802.0885355,2008,NA,121.5,-2.4,47.2,881,729,0.827468785
